# Time-averaged data for fix 3
# TimeStep v_press v_vol v_etotal
10030 44551.9 216000 -784470
10040 100390 216005 -783482
10050 29092.4 216023 -782425
10060 9841.79 216047 -780285
10070 -11629.6 216075 -778718
10080 31024.1 216102 -778226
10090 -24688 216139 -777750
10100 34525.6 216182 -774634
10110 10646.7 216228 -773467
10120 -4955.09 216277 -772909
10130 63176.8 216341 -771261
10140 -25489.6 216411 -769720
10150 -27002.2 216473 -768824
10160 6559.4 216531 -768327
10170 15975.9 216589 -767092
10180 31992.1 216652 -766694
10190 -23477.4 216716 -765286
10200 56937.7 216782 -764094
10210 -630.617 216861 -762419
10220 2625.08 216948 -761849
10230 11107.7 217035 -761383
10240 4335.07 217129 -760887
10250 -5838.51 217218 -759988
10260 35578.5 217312 -758114
10270 33320.2 217412 -757538
10280 35127.9 217524 -757025
10290 91666.6 217647 -751125
10300 21565.9 217797 -749685
10310 -106736 217962 -747626
10320 52092.2 218117 -747802
10330 7213.02 218282 -746760
10340 83758.6 218455 -746098
10350 38135.7 218644 -744995
10360 42597 218856 -744847
10370 58008 219082 -741686
10380 12074.7 219312 -740674
10390 -33074.8 219544 -739466
10400 107663 219779 -736595
10410 -96888 220046 -737788
10420 -13254.8 220315 -735527
10430 38110.5 220584 -735913
10440 72796.2 220854 -736095
10450 63908.5 221128 -735448
10460 -2667.36 221395 -732770
10470 44717.4 221662 -731950
10480 38511.4 221937 -731435
10490 51068.4 222212 -730352
10500 -2785.54 222483 -730033
10510 -39067.2 222741 -728718
10520 -47459.4 222996 -729093
10530 51080.8 223248 -727242
10540 -8956.76 223501 -726496
10550 81544.9 223757 -724715
10560 -7192.83 224002 -722928
10570 73317 224231 -723812
10580 40147.7 224459 -723256
10590 94651.8 224693 -722761
10600 135197 224948 -722794
10610 127226 225217 -722676
10620 -18666.8 225497 -722291
10630 125657 225774 -720437
10640 148493 226065 -719547
10650 24036.7 226370 -718909
10660 81210.8 226675 -718495
10670 74826.5 226989 -717285
10680 51254.1 227312 -716572
10690 91375.4 227638 -715942
10700 -55559.4 227972 -716258
10710 75260.6 228299 -714142
10720 8585.17 228630 -714398
10730 105710 228953 -710779
10740 -56147.3 229285 -710095
10750 -41255.9 229610 -709482
10760 43669.5 229938 -710330
10770 30108.3 230273 -709630
10780 44952.8 230605 -706195
10790 43148.1 230943 -705971
10800 -30397.2 231287 -706349
10810 74847.2 231629 -705023
10820 41521.4 231977 -702916
10830 83015.6 232323 -703183
10840 -5335.29 232673 -703504
10850 181508 233017 -702680
10860 85366.2 233375 -702687
10870 141302 233737 -701948
10880 21985.4 234100 -699782
10890 58517.2 234440 -698790
10900 25555.8 234774 -699428
10910 82578.6 235108 -699603
10920 124089 235452 -697491
10930 95712.9 235797 -697572
10940 -7717.56 236139 -697389
10950 -22928.4 236460 -696501
10960 99475 236762 -696763
10970 132873 237080 -696656
10980 79086 237427 -693994
10990 53605.2 237778 -695263
11000 148213 238137 -694629
11010 10882.2 238501 -695281
11020 174164 238856 -695630
11030 51362.1 239220 -696279
11040 33614.9 239585 -695479
11050 39954.3 239953 -696906
11060 44954.2 240298 -697079
11070 29806.5 240626 -696530
11080 -12154.5 240946 -696794
11090 150217 241264 -697286
11100 114573 241602 -697940
11110 -71491.3 241970 -698354
11120 -5115.57 242324 -699511
11130 30505.7 242672 -698473
11140 110808 243009 -697631
11150 54871.3 243344 -698344
11160 86194 243683 -696644
11170 62499.4 244005 -696430
11180 85915.9 244316 -697184
11190 19591.9 244631 -694648
11200 92805.1 244942 -694974
11210 91190 245261 -693894
11220 135434 245576 -693953
11230 79568 245905 -695764
11240 96818.9 246255 -694832
11250 51389.7 246601 -693614
11260 54029.2 246928 -693835
11270 20568 247241 -694158
11280 109478 247546 -693506
11290 143982 247876 -692710
11300 49615.4 248230 -693875
11310 46109.3 248579 -694256
11320 53179.8 248906 -695807
11330 81088.3 249201 -695319
11340 108228 249471 -692593
11350 120101 249733 -692409
11360 86354.4 250014 -692417
11370 99357.7 250317 -692079
11380 15899.5 250621 -691643
11390 83301.7 250907 -692359
11400 108141 251190 -693832
11410 158431 251505 -693496
11420 78075.3 251848 -695010
11430 -46190 252206 -694857
11440 95653.1 252534 -695770
11450 68759.9 252853 -695254
11460 43468.3 253163 -695838
